totM_list_TOV,totR_list_TOV
0.014926771818371041,0.05105480081569492
0.019004354461491683,0.047086337134160036
0.024137585394620433,0.04345449062239854
0.030597403381185023,0.04012077433437832
0.0387195926977405,0.03705345090042365
0.04891724312533662,0.034226383663154496
0.06169336390825396,0.03161702616538042
0.07765179685686636,0.029205704110062614
0.09750316840383995,0.026974897320276015
0.12206068530158617,0.02490880891518655
0.1522183101482588,0.02299293448602838
0.18890197813238196,0.02121434931211908
0.23298462581444562,0.01956070310480656
0.28516039588477765,0.018020938047506967
0.3453862888472137,0.016593474452136887
0.4143595769582638,0.015250308757217739
0.4908388903060701,0.0139948875549315
0.5729886644760434,0.012825631157194761
0.6595001514842579,0.011726024643135538
0.7479689654251291,0.010692621420571848
0.8348305620478018,0.009733032713905564
0.9181186071943356,0.008838785650689318
0.996084289243768,0.008004710342650143
2.8105108253677375e-12,4.3082402418358844e-07
1.1304635196584292,0.0065117614958224435
1.1855979016837654,0.00584886693282161
1.2327004400964785,0.005238245684580809
1.2721753645270768,0.004678030847001465
1.3046155158968875,0.00416649912399259
1.3310163156328236,0.0036973317632205535
1.3519281096587532,0.00327253927679151
1.3682112680885081,0.0028882442485007325
1.9298990246725197e-10,4.3082402418358844e-07
3.0875703256947975e-10,4.3082402418358844e-07
1.3962190906756673,0.0019530689031234743
1.40047221137061,0.0017052014820360744
1.4028658749003746,0.0014856248384424275
1.4036910149457302,0.0012913232041833014
1.4031545718590268,0.0011202860671525405
1.4013967143329837,0.0009700720912212426
1.398499488335194,0.00083852715627567
1.3944939020795162,0.0007237843582172502
1.389366768348649,0.0006236895769322458
3.391842649996558e-08,4.3082402418358844e-07
1.3755000368808308,0.0004615561363716001
8.681578927584576e-08,4.3082402418358844e-07
1.3889290599517845e-07,4.3082402418358844e-07
1.343880598442928,0.00029152425539391677
1.3297732338000525,0.00024973432518740846
1.3135237219396525,0.00021368871528420024
